datetime,current_mcp,pred_t+15min,pred_t+1hr,pred_t+2hr,actual_t1,actual_t4,actual_t8,decision,confidence,reason,correct_prediction
2019-01-02 00:00:00,2410.32,2413.48193359375,2415.931396484375,2287.6806640625,2402.82,1999.8,1749.37,HOLD,0.0,Prediction below noise floor,False
2019-01-02 00:15:00,2402.82,2413.48193359375,2413.059326171875,2285.84765625,2402.8,1999.53,1711.25,HOLD,0.0,Prediction below noise floor,False
2019-01-02 00:30:00,2402.8,2413.48193359375,2414.57958984375,2265.9169921875,2070.61,1950.24,1711.55,HOLD,0.0,Prediction below noise floor,False
2019-01-02 00:45:00,2070.61,2102.857421875,2114.983154296875,2114.670166015625,1999.8,1826.7,1716.65,HOLD,0.2461,"Upward move of 1.56%. Strength=0.27×vol, Regime=midday.",False
2019-01-02 01:00:00,1999.8,2042.954345703125,2050.350830078125,2013.4395751953125,1999.53,1749.37,1749.13,BUY,0.3411,"Upward move of 2.16%. Strength=0.37×vol, Regime=midday.",False
2019-01-02 01:15:00,1999.53,2030.3111572265625,2020.7587890625,1973.947509765625,1950.24,1711.25,1749.19,HOLD,0.2433,"Upward move of 1.54%. Strength=0.27×vol, Regime=midday.",False
2019-01-02 01:30:00,1950.24,1969.2392578125,1947.591064453125,1902.2337646484375,1826.7,1711.55,1749.41,HOLD,0.0168,Weak signal vs volatility,False
2019-01-02 01:45:00,1826.7,1869.6495361328125,1883.034912109375,1844.72314453125,1749.37,1716.65,1749.69,BUY,0.3716,"Upward move of 2.35%. Strength=0.41×vol, Regime=midday.",False
2019-01-02 02:00:00,1749.37,1788.6539306640625,1806.4537353515625,1795.8726806640625,1711.25,1749.13,1800.77,BUY,0.3549,"Upward move of 2.25%. Strength=0.39×vol, Regime=midday.",False
2019-01-02 02:15:00,1711.25,1767.9302978515625,1781.6619873046875,1787.192626953125,1711.55,1749.19,1953.88,BUY,0.5235,"Upward move of 3.31%. Strength=0.57×vol, Regime=midday.",True
2019-01-02 02:30:00,1711.55,1767.9302978515625,1781.44287109375,1787.192626953125,1716.65,1749.41,1999.68,BUY,0.5206,"Upward move of 3.29%. Strength=0.57×vol, Regime=midday.",True
2019-01-02 02:45:00,1716.65,1788.6539306640625,1800.834716796875,1795.8726806640625,1749.13,1749.69,1999.59,STRONG BUY,0.6629,"Upward move of 4.19%. Strength=0.72×vol, Regime=midday.",True
2019-01-02 03:00:00,1749.13,1788.6539306640625,1816.95556640625,1942.5859375,1749.19,1800.77,2124.48,BUY,0.3571,"Upward move of 2.26%. Strength=0.39×vol, Regime=midday.",True
2019-01-02 03:15:00,1749.19,1788.6539306640625,1816.6759033203125,1943.517578125,1749.41,1953.88,2270.71,BUY,0.3566,"Upward move of 2.26%. Strength=0.39×vol, Regime=midday.",True
2019-01-02 03:30:00,1749.41,1788.6539306640625,1814.84423828125,1939.4879150390625,1749.69,1999.68,1999.92,BUY,0.3545,"Upward move of 2.24%. Strength=0.39×vol, Regime=midday.",True
2019-01-02 03:45:00,1749.69,1788.6539306640625,1814.84423828125,1938.1243896484375,1800.77,1999.59,2220.99,BUY,0.352,"Upward move of 2.23%. Strength=0.38×vol, Regime=midday.",True
