datetime,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
2018-01-01,517573.3,878143.4,426314.76,425750.39,3149.72,3149.72
2018-01-02,471179.9,933524.3,405509.41,403052.31,2913.0025,2913.0025
2018-01-03,516813.0,844412.7,404354.16,400870.36,3171.739270833333,3171.739270833333
2018-01-04,505985.4,839719.3,393399.89,392022.68,3160.42375,3160.42375
2018-01-05,545624.8,910620.8,437868.7,436183.1,3133.6241666666665,3133.6241666666665
2018-01-06,551886.9,919002.0,430493.22000000003,416068.82,3231.8994791666664,3231.8994791666664
2018-01-07,497305.1,918413.0,409240.53,408253.88,2996.5195833333332,2996.5195833333332
2018-01-08,574688.1,851559.0,415083.57,414856.83,3385.2275000000004,3385.2275000000004
2018-01-09,530753.0,935072.9,427472.72,425255.2,3072.8967708333334,3072.8967708333334
2018-01-10,491381.3,947346.1,411681.39,410460.91,2925.6548958333333,2925.6548958333333
2018-01-11,537960.7,938188.2,442836.89,433802.97,2978.9226041666666,2978.9226041666666
2018-01-12,687712.6,862409.1,467155.89,467155.89,3334.4166666666665,3334.4166666666665
2018-01-13,666211.3,884771.4,486335.99,486335.98,3202.7790625,3202.7790625
2018-01-14,546989.9,876137.0,418548.37,418548.36,2949.347395833333,2949.347395833333
2018-01-15,645510.2,802714.5,453980.58,453980.6,3360.050520833333,3360.050520833333
2018-01-16,664547.2,857610.4,483551.78,483551.78,3316.655625,3316.655625
2018-01-17,640559.0,824374.1,459348.3,459348.29,3312.19375,3312.19375
2018-01-18,603479.5,768666.6,437146.82,437146.83,3593.8879166666666,3593.8879166666666
2018-01-19,606394.0,816263.9,455617.12,455617.13,3373.7605208333334,3373.7605208333334
2018-01-20,554087.4,862627.1,424930.25,424195.48,3110.337916666667,3110.337916666667
2018-01-21,465156.8,899564.1,391281.27,391281.29,2871.233854166667,2871.233854166667
2018-01-22,544161.9,805347.2,403503.5,403503.51,3274.743958333333,3274.743958333333
2018-01-23,600128.9,783195.0,432110.13,432110.13,3367.4215625,3367.4215625
2018-01-24,655212.5,804968.4,465960.07,465960.07,3450.5087500000004,3450.5087500000004
2018-01-25,653894.7,766636.7,452267.31,452267.32,3443.023541666667,3443.023541666667
2018-01-26,512813.3,829694.8,416934.52,416934.52,2999.6735416666666,2999.6735416666666
2018-01-27,609055.0,796704.7,468259.44,468259.44,3504.4465625,3504.4465625
2018-01-28,543457.6,916896.0,433180.94,433180.94,2956.8404166666664,2956.8404166666664
2018-01-29,636935.8,844259.7,480467.43,462917.83,3256.9252083333336,3256.9252083333336
2018-01-30,593225.8,839900.0,461613.64,461613.66,3189.948229166667,3189.948229166667
2018-01-31,630394.0,809807.3,460429.05,460429.05,3191.6822916666665,3191.6822916666665
2018-02-01,621807.2,795581.9,461598.32,434026.21,3348.7203125,3348.7203125
2018-02-02,563551.6,950559.1,481065.54,452880.12,3033.08,3033.08
2018-02-03,564740.2,919760.9,470355.9,470355.89,3026.7259375,3026.7259375
2018-02-04,529055.8,967019.2,413260.34,413260.34,2831.9095833333336,2831.9095833333336
2018-02-05,642464.0,932864.3,511503.75,511503.76,3146.975,3146.975
2018-02-06,610588.2,932185.7,486593.29,486593.26,3023.7639583333334,3023.7639583333334
2018-02-07,622204.3,934290.6,483349.33,483349.35,3168.3347916666667,3168.3347916666667
2018-02-08,659206.7,892520.7,477424.12,477424.11,3324.1261458333333,3324.1261458333333
2018-02-09,661095.7,824021.0,467770.94,467770.92,3516.1596875,3516.1596875
2018-02-10,672060.6,807260.2,461847.27,461507.99,3546.7570833333334,3546.7570833333334
2018-02-11,547121.8,852408.1,410495.87,410495.84,3177.240416666667,3177.240416666667
2018-02-12,566117.3,909562.1,464038.35,464038.37,3191.7484375,3191.7484375
2018-02-13,484372.6,950964.6,412372.17,412372.14,2799.7058333333334,2799.7058333333334
2018-02-14,481163.6,968674.9,418266.83,418266.82,2676.4908333333333,2676.4908333333333
2018-02-15,494905.5,960120.9,434548.24,434548.26,2684.653333333333,2684.653333333333
2018-02-16,531029.3,889898.3,425535.11,425535.1,2899.998020833333,2899.998020833333
2018-02-17,561271.8,883455.4,434956.89,434956.91,3031.0705208333334,3031.0705208333334
2018-02-18,546646.3,909633.1,440530.85,440530.85,2968.1281249999997,2968.1281249999997
2018-02-19,697120.0,772980.1,463814.61,463814.61,3476.581875,3476.581875
2018-02-20,717314.1,850120.6,507922.77,507922.77,3529.6067708333335,3529.6067708333335
2018-02-21,746662.9,798562.9,518362.71,518362.68,3734.9992708333334,3734.9992708333334
2018-02-22,664181.4,929536.5,517561.61,517561.61,3384.0514583333334,3384.0514583333334
2018-02-23,703183.5,900320.7,531738.6,531738.61,3486.0629166666663,3486.0629166666663
2018-02-24,772038.5,867851.5,558678.61,558678.61,3775.6621875,3775.6621875
2018-02-25,611624.9,1072553.3,514904.5,514904.5,3099.7509375000004,3099.7509375000004
2018-02-26,667204.0,882829.1,529519.77,529519.77,3563.97625,3563.97625
2018-02-27,641440.4,875680.4,513357.58,513357.58,3455.02375,3455.02375
2018-02-28,722830.5,846894.2,550594.23,548622.34,3518.388125,3518.388125
2018-03-01,663017.3,652763.0,469080.35,469080.35,3936.6771875,3936.6771875
2018-03-02,440780.4,745360.5,388397.08,388397.12,2910.7333333333336,2910.7333333333336
2018-03-03,555570.3,817453.4,439569.48,439569.5,3188.52875,3188.52875
2018-03-04,504517.9,828545.9,411038.2,409332.72000000003,3087.2383333333332,3087.2383333333332
2018-03-05,629226.2,588305.1,424017.78,424017.75,4033.4298958333334,4033.4298958333334
2018-03-06,573249.3,675692.1,438509.76,437274.02,3690.4942708333333,3690.4942708333333
2018-03-07,662677.8,576898.6,440842.78,442269.24,4198.581666666667,4198.581666666667
2018-03-08,618025.8,588720.7,447672.51,448166.01,4004.6846874999997,4004.6846874999997
2018-03-09,730563.7,613005.8,503673.92,503673.92,4371.748333333334,4371.748333333334
2018-03-10,646770.5,573138.8,467364.92,467364.92,4357.186979166667,4357.186979166667
2018-03-11,631653.2,579353.7,454260.33,454260.34,4023.0004166666663,4023.0004166666663
2018-03-12,753835.0,525696.7,453458.42,453458.43,4838.801354166667,4838.801354166667
2018-03-13,724087.9,655994.3,518423.19,518423.21,4153.5490625,4153.5490625
2018-03-14,766509.9,640674.9,531364.98,531364.99,4508.535104166666,4508.535104166666
2018-03-15,767846.2,598084.2,520470.74,520470.71,4722.76625,4722.76625
2018-03-16,731597.0,512033.6,460498.33,460498.32,4945.667291666667,4945.667291666667
2018-03-17,644302.9,620007.8,479146.87,479146.86,4129.485416666666,4129.485416666666
2018-03-18,561349.2,801399.3,446959.51,446959.48,3439.194791666667,3439.194791666667
2018-03-19,648900.5,767790.2,503814.22,503814.19,3691.206770833333,3691.206770833333
2018-03-20,691992.8,814409.9,542967.15,542967.2,3648.3363541666663,3648.3363541666663
2018-03-21,800332.0,752431.3,598241.07,598241.08,4190.198125,4190.198125
2018-03-22,844201.1,763998.7,639459.68,639459.71,4259.026145833333,4259.026145833333
2018-03-23,777188.4,782749.8,604859.02,604859.0,3965.08,3965.08
2018-03-24,715527.9,757481.4,555103.22,555103.2,3778.510208333333,3778.510208333333
2018-03-25,605974.3,819510.8,490440.07,490440.06,3357.8971875,3357.8971875
2018-03-26,689036.9,761466.3,542560.85,542560.89,3743.394270833333,3743.394270833333
2018-03-27,719887.7,775657.4,576521.62,576521.61,3710.7335416666665,3710.7335416666665
2018-03-28,803019.2,727143.3,601584.92,601584.89,4283.603229166666,4283.603229166666
2018-03-29,851985.8,711136.5,629608.35,629608.34,4745.799270833333,4745.799270833333
2018-03-30,840806.6,734646.4,631009.67,631009.65,4669.563854166667,4669.563854166667
2018-03-31,758267.7,814032.0,611247.15,611247.18,4003.2041666666664,4003.2041666666664
2018-04-01,565899.0,858342.8,486832.73,486832.75,3258.8542708333334,3258.8542708333334
2018-04-02,620103.4,765655.8,523997.75,523997.74,3537.40625,3537.40625
2018-04-03,667372.3,776336.1,556357.08,556357.07,3845.4575,3845.4575
2018-04-04,668989.3,557171.0,480469.51,480469.52,4746.8696875,4746.8696875
2018-04-05,749242.2,593241.3,524020.37,524020.37,5073.540208333333,5073.540208333333
2018-04-06,631474.2,666532.7,492508.73,492508.75,4187.5867708333335,4187.5867708333335
2018-04-07,644025.0,575659.1,472383.02,472383.01,4424.0896875,4424.0896875
2018-04-08,541196.3,704273.3,440057.24,440057.24,3544.709375,3544.709375
2018-04-09,654493.7,738635.4,524382.71,524382.71,3849.144166666667,3849.144166666667
2018-04-10,649652.4,807687.9,545404.23,545212.49,3537.570208333333,3537.570208333333
2018-04-11,611044.1,810648.3,519936.2,519936.16,3282.677395833334,3282.677395833334
2018-04-12,668913.0,774697.2,556760.07,556616.54,3582.7327083333334,3582.7327083333334
2018-04-13,634779.8,842087.1,537959.69,535435.16,3256.2094791666664,3256.2094791666664
2018-04-14,696463.8,826454.4,575946.36,575385.85,3711.189479166667,3711.189479166667
2018-04-15,631705.0,844553.1,530146.31,530146.31,3476.5861458333334,3476.5861458333334
2018-04-16,733631.6,734543.9,584926.49,584926.48,4191.927604166666,4191.927604166666
2018-04-17,721836.9,775360.0,593627.27,591809.05,3866.2544791666664,3866.2544791666664
2018-04-18,734262.8,732798.5,577380.52,575076.47,4046.716354166667,4046.716354166667
2018-04-19,710924.7,692718.3,551805.95,549776.66,4137.114583333333,4137.114583333333
2018-04-20,709514.0,670047.9,536670.39,536670.38,4405.3115625,4405.3115625
2018-04-21,833607.6,707095.0,632478.77,631065.0599999999,4652.405,4652.405
2018-04-22,689224.1,768357.0,550458.35,550458.33,4004.2897916666666,4004.2897916666666
2018-04-23,850622.0,723647.2,623384.97,623384.98,4677.308958333333,4677.308958333333
2018-04-24,828261.4,748301.9,631616.63,631623.37,4496.7121875,4496.7121875
2018-04-25,721810.2,717602.0,566124.9,566124.89,4223.2653125,4223.2653125
2018-04-26,757163.1,725941.1,607583.98,607583.99,4402.456875,4402.456875
2018-04-27,665690.8,692199.4,524768.53,524768.49,4080.6299999999997,4080.6299999999997
2018-04-28,684199.8,691229.6,550953.4,550953.4,3964.200208333333,3964.200208333333
2018-04-29,550200.7,764805.7,450295.7,450295.69,3442.5821875,3442.5821875
