datetime,National Hourly Demand,Northern Region Hourly Demand,Western Region Hourly Demand,Eastern Region Hourly Demand,Southern Region Hourly Demand,North-Eastern Region Hourly Demand
2019-01-01,137169.95625000002,39993.739583333336,44784.450833333336,14209.220416666665,36487.270833333336,1695.2749999999999
2019-01-02,138531.52583333335,39797.449583333335,45767.174999999996,14116.896666666667,37127.36166666667,1722.6445833333335
2019-01-03,139922.52375,39918.4225,46308.80541666667,14389.835416666667,37588.12,1717.3391666666666
2019-01-04,140803.80791666667,40271.19291666667,46460.945,14528.513333333334,37816.87375,1726.2829166666668
2019-01-05,139779.99125,39053.72125,46752.3725,14789.113333333333,37431.695,1753.0916666666665
2019-01-06,135063.32083333333,37556.92958333334,45342.417916666665,14427.22375,36043.167083333334,1693.5808333333334
2019-01-07,138333.76958333334,38871.54458333333,45749.15,14589.360416666668,37421.685,1702.0295833333332
2019-01-08,140570.07749999998,40432.9675,46400.549166666664,14392.129583333333,37655.62666666667,1688.80375
2019-01-09,140339.02291666667,40432.28791666667,46454.77833333333,14234.242083333333,37552.595,1665.1204166666666
2019-01-10,141296.24083333332,40336.32125,46527.567500000005,14482.717499999999,38211.630833333336,1738.0041666666666
2019-01-11,142556.13833333334,40889.65083333333,46698.150833333326,14524.095,38676.46958333333,1767.77125
2019-01-12,141220.79916666666,39946.53166666667,46848.03,14539.301666666666,38129.74458333333,1757.1916666666666
2019-01-13,137005.56583333333,38837.00125,45823.20416666666,13972.070833333333,36678.293333333335,1694.9979166666665
2019-01-14,135925.35041666668,39350.31291666667,43410.9175,14330.626250000001,37115.08541666667,1718.4054166666665
2019-01-15,136617.72708333333,40990.02625,44827.299166666664,14334.59375,34795.87708333333,1669.9291666666668
2019-01-16,138358.83166666667,41143.309166666666,46434.91375,14598.924583333333,34555.86833333333,1625.8170833333334
2019-01-17,140261.87333333332,41151.97375,47178.36083333333,14589.730833333333,35686.674999999996,1655.1325
2019-01-18,142039.72208333333,41377.9575,46911.10791666667,14789.724166666667,37267.98458333333,1692.94625
2019-01-19,141293.345,40392.815833333334,46998.81625,14685.532916666665,37492.5575,1723.6204166666666
2019-01-20,136690.48666666666,38624.265,46012.77666666667,14314.392916666666,36004.22875,1734.8241666666665
2019-01-21,136772.1575,36685.64708333334,46472.62125,14537.61125,37292.24458333333,1784.0354166666666
2019-01-22,135327.04166666666,33711.480833333335,46615.47666666666,15386.504166666666,37791.9675,1821.6125
2019-01-23,137131.44916666666,35312.42208333333,46656.04625000001,15094.402083333334,38253.23458333333,1815.34375
2019-01-24,138757.25958333333,37592.05708333333,45960.54,14491.025,38885.206666666665,1828.4295833333333
2019-01-25,136854.79291666666,36732.90833333333,44333.17083333334,14855.605416666667,39144.99375,1788.11
2019-01-26,128203.61708333333,34932.46333333333,40340.54083333333,14487.469166666668,36771.60166666666,1671.54125
2019-01-27,128488.39833333333,35789.754583333335,41385.596666666665,14264.4525,35411.23291666667,1637.3616666666667
2019-01-28,134480.90666666668,37962.253749999996,43753.6175,14827.6725,36200.085,1737.2787500000002
2019-01-29,137074.71458333332,38813.95375,44693.61708333334,15056.498333333335,36820.012083333335,1690.635
2019-01-30,139643.14833333335,40008.441249999996,45490.72541666666,14911.349583333335,37535.456249999996,1697.1770833333333
2019-01-31,140084.51583333334,39610.33583333334,45905.25125,15056.563333333334,37860.63125,1651.7341666666669
2019-02-01,139799.33208333334,39286.612916666665,45580.84666666667,14971.477916666669,38316.37291666667,1644.0229166666668
2019-02-02,139507.22583333333,39451.22375,45544.4475,14969.987916666667,37841.58708333333,1699.9783333333335
2019-02-03,136635.77,38472.95583333333,45445.68125,14642.027916666666,36423.34375,1651.7620833333333
2019-02-04,140321.93125,39197.034999999996,46514.4475,14981.017083333332,37940.60041666666,1688.83
